Country/Terrain,Acute hepatitis,Alcohol use disorders,Alzheimer's/dementias,Cardiovascular diseases,Conflict/terrorismum,Diabetes,Diarrheal diseases,Digestive diseases,Drowning,Tuberculosis,Terrorism (deaths),Self-harm,respiratory diseaseses,Protein-energy malnutrition,Road injuries,Poisonings,Parkinson,Nutritional deficiencies,Neonatal disorders,Fire/hot substances,Neoplasms,Meningitis,Maternal disorders,Malaria,HIV/AIDS,Drug use disorders,Environmental heat and cold exposure,Exposure of nature,Lower respiratory infectionses,liver diseases,kidney disease,Interpersonal violence
Haiti,3023,8097,14787,601707,1029,97074,196771,107579,42062,45749,324,22867,84435,41149,33503,5693,5793,42414,156871,16152,227925,40890,44582,28833,300695,716,4454,231490,208656,50341,48881,77719
Honduras,822,7617,19534,270940,161,18770,58414,120555,6784,15393,110,5826,68649,7123,29024,1627,6484,7735,70799,1834,135345,4455,10356,205,3735,1721,127,15648,35096,57558,50046,100835
Hungary,125,22920,102429,1938728,10,66143,3589,254541,6453,6947,6,86210,155490,316,42672,2333,22142,797,13123,6239,1036094,2864,363,0,3572,1339,7387,69,34060,165435,35355,7584
Iceland,0,196,2925,21405,0,607,81,1622,92,69,0,1107,2642,33,536,30,784,38,210,60,16360,55,0,0,48,265,30,76,2768,436,645,79
India,1672179,527112,1707561,52994710,74430,4781169,26243547,11804380,2110438,15820922,16210,5543395,25232974,2356222,5346154,170119,756832,3290569,20911570,730580,17762703,2008944,2292449,2439244,2454374,168928,334967,114044,16419404,6294910,4556172,1237163
Indonesia,231909,16158,487566,13587011,7489,1888549,2590656,3204787,237902,3197011,1139,223144,2559457,560546,1325509,27837,145752,604467,2238128,51790,4672674,337724,376966,74664,74981,12980,3614,191693,1820769,2249388,964478,81342
Iran,17350,6288,212745,3867575,9208,213971,51705,252304,57888,29658,607,133625,359283,12817,840360,36491,48549,13985,782644,85948,1242461,30820,13881,13013,12695,76171,1804,75410,319755,153354,246305,60299
Iraq,5952,1178,63014,1655522,336980,173840,70537,88429,33077,42775,78428,43690,81596,9766,160444,4017,14484,10598,454485,31626,421656,29604,18547,86,1451,11566,1041,169,175662,62335,154225,90383
Ireland,35,2545,32298,334089,16,13527,785,30682,1768,1300,14,14753,67264,187,9708,405,8110,396,3418,1422,252493,622,81,0,510,3978,320,20,54142,9614,15477,1132
Israel,177,1862,48452,353386,8833,63661,5931,46616,1526,1423,1320,15596,47848,743,19927,243,12292,990,10404,1348,331189,1045,262,0,1186,1640,419,49,32778,18669,54179,5255
Italy,2162,9444,929827,6614384,70,568245,13056,827170,13429,17572,26,141185,797579,8727,234288,4406,179066,13147,39400,13888,5173525,6584,851,0,47691,22032,5468,1801,291040,432732,346993,23540
Jamaica,56,233,17776,151968,86,53947,2130,13363,472,462,19,1910,16370,2658,4761,111,3421,2871,18714,625,96446,1063,919,0,13671,133,38,101,13598,4894,20966,13745
Japan,6876,21091,2638908,9210437,78,251165,67308,1463405,189041,135757,45,861712,1231229,27908,327979,12372,308327,38101,32849,52365,10530449,14330,2698,0,5140,12254,43462,27540,2659196,755502,966881,28447
Jordan,424,270,10111,201236,1084,35911,2337,19434,3318,1044,119,4807,16228,367,25603,1681,2629,429,49239,4429,82273,1982,3010,0,400,252,105,63,23329,11054,26307,6502
Kazakhstan,3037,59494,55729,2232449,416,49499,17170,228739,43544,85570,39,149638,224600,2187,103782,20586,16206,3322,77170,19527,648639,8919,3633,0,7614,15442,37574,211,139520,152588,43437,76206
Kenya,34762,6408,51425,798827,9319,116148,729360,428683,16553,452070,1898,65367,163945,167652,100798,19489,11205,173201,584643,19466,409423,140063,106386,303684,2583539,1496,5862,1546,644983,272978,89063,96919
Kiribati,100,11,166,8385,14,2987,1687,1440,173,2087,0,807,1903,565,537,52,116,576,1706,30,2910,455,283,0,48,30,16,0,1142,732,853,128
Kuwait,55,172,6131,72602,3853,7012,160,5651,664,909,41,2420,4027,2,13449,477,966,23,5793,746,26502,295,126,0,77,352,57,3,9978,3451,6620,1162
Kyrgyzstan,1238,12578,19434,517868,672,8541,9442,66466,12857,19192,10,19677,72407,463,27667,3550,3521,564,52311,4570,113709,3249,2013,12,3767,2153,3722,600,52290,55655,15474,12968
Laos,3834,2226,9990,309868,393,34098,87415,66638,18731,110749,25,13307,76974,16271,36050,1601,3093,17326,154761,3451,112232,13812,18920,5372,6315,389,444,377,197088,30997,40767,21020
Latin America & Caribbean (WB),30676,566975,2589348,25201777,54168,4310931,1661783,5820870,626735,827736,0,1123614,4483431,990029,3309177,72459,544379,1074269,4266478,204189,16188219,330907,322250,115109,1375816,56230,24214,318956,5780978,3232317,3753716,4148678
Latvia,183,10957,23112,544361,9,9100,155,30628,8473,4160,2,21098,15486,94,16013,1722,5117,303,2705,6883,176973,728,151,0,3033,1657,6580,10,13047,12609,5191,8685
Lebanon,4381,363,21842,362107,4927,18508,2263,21986,1838,1710,1260,4291,28211,339,11511,970,4369,402,25063,2618,151517,1274,789,0,1906,1860,90,48,22009,13849,25459,8275
Lesotho,1037,808,4029,105072,151,26695,60502,23737,2953,73453,1,16070,33797,7057,21479,1276,950,7255,49731,3124,50752,5587,4597,0,322742,149,708,49,58784,10825,12162,19200
Liberia,3284,688,6384,105814,20518,13945,142432,38910,3478,39624,177,5642,14733,21878,12910,1868,1796,22781,92621,2493,43827,23708,22163,145813,49585,120,519,14,85243,24659,14987,5603
Libya,1283,470,20235,238179,19696,14673,3715,23870,3293,2100,2583,7492,22354,425,53596,1708,3497,497,35285,3789,98466,1690,1019,0,1352,3106,126,16,20293,15449,24380,7862
Lithuania,73,17741,32826,657865,19,7278,301,51246,11752,9166,1,42217,31808,85,21638,4540,6271,190,3315,4251,241986,1042,137,0,1784,2803,8876,20,16145,25576,6720,9714
Luxembourg,0,664,4564,41754,1,1831,310,5812,97,79,0,2030,5729,146,1515,36,1263,158,278,95,33867,48,10,0,131,438,30,2,3364,2781,2471,212
Madagascar,6929,3324,18593,773591,1343,59912,640290,159999,15133,344136,31,33836,149271,252909,72953,10727,4612,260158,386736,11569,230677,81655,75125,202088,34991,849,3720,2072,488612,105287,42875,11761
Malawi,12214,2825,19156,371555,92,58163,413051,151852,14016,274335,33,28814,62074,109606,55753,9509,4515,113304,393356,10228,226599,107433,39029,404288,1265348,716,2442,953,380042,99983,41137,9142
Malaysia,6003,4559,64618,1194056,123,90231,31782,202459,21733,64779,18,38809,183160,5275,178875,5519,16274,5563,58843,7393,570533,10204,9806,1437,49843,2393,371,794,336632,94730,113850,16974
Maldives,37,30,641,11463,0,993,627,1023,691,766,1,392,3024,236,554,0,180,301,3814,140,4030,84,383,0,12,27,0,102,859,660,1686,182
Mali,15178,2066,23893,423975,32775,55390,579172,148239,24627,174546,1432,19059,103596,297954,61404,13283,6495,304544,747229,17049,191446,189707,80995,711087,137382,319,3140,124,387730,85878,56761,37790
Malta,0,77,3887,39696,3,3133,51,3188,137,43,3,689,3866,17,674,30,1043,30,474,64,23644,77,16,0,74,171,30,1,4352,1188,2328,171
Marshall Islands,15,27,67,3454,0,696,279,457,183,264,0,341,706,58,311,0,49,61,505,30,1125,49,60,0,56,0,0,0,666,262,345,120
Mauritania,1105,438,6830,95870,156,13766,85902,29856,1721,20346,39,3891,14363,13157,25652,1070,1790,13719,75578,1677,44019,10642,18876,26053,1142,105,389,76,64681,17690,14862,4872
Mauritius,34,2024,5838,94929,0,30978,967,12375,1264,464,0,3994,13393,358,5315,78,1221,383,5335,1076,30641,324,250,0,1273,254,21,31,8047,8917,21994,949
Mexico,7297,129387,403107,3244515,1333,1328966,273613,1483060,93275,113769,677,158347,771520,234785,597433,18046,87040,269731,734235,31896,2134942,24956,42091,218,147499,13283,5348,4593,643772,985079,1182693,554972
Micronesia (country),18,48,198,8366,0,2292,501,1017,385,500,0,711,1790,124,702,30,127,128,758,48,2691,89,123,0,454,30,15,53,1358,565,1146,270
Middle East & North Africa (WB),148720,27062,881174,21840586,932348,1343681,1301386,2757904,247033,408528,0,503291,1899776,151979,3568529,98978,227642,165919,3842559,291267,5609327,203439,217833,159820,89654,138846,13272,85345,2550735,2164167,1677139,268239
Moldova,280,12646,25100,746997,1069,10389,960,127944,9498,10983,13,22504,46607,115,20292,7418,4861,171,9647,5067,182270,1571,479,0,4999,995,6914,69,32555,101480,5526,13193
Monaco,0,0,723,5363,0,108,0,497,30,38,0,164,558,0,70,5,172,0,10,0,5775,0,0,0,28,0,0,0,651,209,190,0
Mongolia,1771,8973,4504,231046,156,2817,7025,49936,5066,14616,0,16429,13996,48,15241,4616,1246,691,30005,2727,120092,4336,2286,0,180,386,7290,282,42949,34731,11467,8807
Montenegro,0,243,4422,101092,3,3750,30,4156,385,188,1,3568,2170,30,2028,121,1230,30,1549,392,40554,64,25,0,59,32,167,1,1940,1373,3176,832
Morocco,15900,2745,102231,2551096,171,112749,153225,179607,17133,168232,80,76054,213543,8554,305148,8898,24816,9729,400341,29598,543654,29170,38902,0,17552,7718,3521,1847,252563,105855,182577,10907
Mozambique,17322,5048,31971,666919,5574,93783,514639,156332,22265,602652,789,46724,94550,188945,114554,16546,6976,195650,734771,18141,266464,120772,52371,817948,1541266,1804,4100,2592,546527,66310,58349,33861
Myanmar,17130,13690,128601,3522423,18252,520531,706020,744192,155752,866485,991,74663,1253201,85808,291092,50299,35045,93900,859666,12452,1260516,139348,63745,157143,268570,5264,518,139932,1153570,530177,288985,29794
Namibia,309,649,4486,94038,216,18854,27497,18726,2130,33474,41,6700,23323,7214,15198,847,1149,7408,30358,2372,32146,3979,2864,7383,156336,140,548,264,42672,8575,8490,11562
Nauru,0,0,0,772,0,161,24,84,56,30,0,73,128,22,109,0,0,22,140,0,226,19,23,0,6,0,0,0,183,60,81,30
Nepal,26986,5022,41405,913752,14447,54405,355418,273247,62520,301406,1963,88624,822694,95262,66812,17920,13742,108221,519032,5157,406878,37391,80001,1643,34487,658,6599,15571,502770,188003,85814,13560
Netherlands,163,9705,191095,1334457,230,103768,7660,174262,2954,4343,13,57082,263005,4422,34449,530,42419,6074,13431,3627,1338631,3732,440,0,5168,3665,857,43,189718,51593,76627,5840
New Zealand,42,1301,40940,328560,0,17532,1243,25560,1788,678,0,15897,57809,252,14739,250,8236,356,4225,822,247515,682,199,0,671,1411,181,287,21517,7172,17445,1934
Nicaragua,283,8106,13636,168887,329,34246,25264,45063,5214,7083,149,9281,27119,8855,18379,822,4081,8905,41187,833,86863,4238,2710,286,6618,255,87,4855,37149,30148,57195,12919
Niger,10238,2000,14695,329937,3353,37512,1021934,134701,25082,173078,1300,18126,74913,121040,61895,12042,4065,123982,525214,17060,125297,314819,78160,693962,69439,242,2986,488,742507,71448,44573,36765
Nigeria,119860,28341,241713,4176488,78908,541020,7449328,1716202,103723,1769390,22674,190297,641714,270470,487695,107604,66545,286858,5262229,110784,1618730,1520376,525566,6422063,2216718,4897,26363,1899,5917528,995203,464656,306846
Niue,0,0,12,263,0,80,0,30,0,0,0,0,45,0,0,0,0,0,1,0,90,0,0,0,0,0,0,1,30,9,30,0
North America (WB),6252,340201,3620492,28657082,12691,2226565,228632,3316084,124433,42801,0,1302424,5351546,128331,1452471,44456,743896,142056,460952,136629,21022167,43140,25980,0,545901,838082,44370,11085,2463172,1637681,2164033,628309
North Korea,7705,9524,88087,2241454,3,95880,18000,236074,59067,106488,3,88069,780804,629389,229844,12984,26290,632056,210676,9595,978429,14250,16471,81,9620,7973,3272,2669,253159,132430,102116,26585
North Macedonia,36,847,9156,360839,215,23392,1362,15477,816,2521,49,6356,18904,14,5615,281,3887,37,7102,402,128961,387,92,0,56,282,173,37,6094,8020,8744,1850
Northern Ireland,30,1435,16731,162587,720,4193,811,19279,320,392,0,5658,31642,81,3755,197,4245,129,2239,450,124693,352,59,0,299,1238,153,5,35761,5988,5081,545
Northern Mariana Islands,0,56,90,2340,5,524,44,505,141,44,0,265,421,30,300,0,45,30,111,12,1593,0,28,0,23,0,0,5,281,367,450,117
Norway,60,7758,65284,490252,88,19988,6724,42226,2045,1738,78,18010,67974,1182,9041,571,11827,1402,2898,2059,345384,878,80,0,773,7568,971,140,68615,10864,17960,1289
OECD Countries,58588,1208356,13909444,104163658,65481,7797478,916883,14196254,707504,731794,0,5006140,15717329,582261,4644963,167576,2700967,680828,2329433,435152,79710371,206679,108858,560,977585,1165521,203120,74590,11336201,7117055,7636864,1553685
