Country/Terrain,Acute hepatitis,Alcohol use disorders,Alzheimer's/dementias,Cardiovascular diseases,Conflict/terrorismum,Diabetes,Diarrheal diseases,Digestive diseases,Drowning,Tuberculosis,Terrorism (deaths),Self-harm,respiratory diseaseses,Protein-energy malnutrition,Road injuries,Poisonings,Parkinson,Nutritional deficiencies,Neonatal disorders,Fire/hot substances,Neoplasms,Meningitis,Maternal disorders,Malaria,HIV/AIDS,Drug use disorders,Environmental heat and cold exposure,Exposure of nature,Lower respiratory infectionses,liver diseases,kidney disease,Interpersonal violence
South Sudan,6078,1335,10881,185687,41463,27540,224539,68747,8589,142094,2634,10941,38756,163526,29058,5410,2433,166849,284275,6831,100978,70107,20434,166774,120952,222,2227,273,302252,42206,23219,18486
South-East Asia Region (WHO),2132644,617365,3095186,83181850,213366,8564724,31726330,18406398,3542898,22102298,0,6699212,33443326,4368839,8327432,305490,1140989,5478436,27782395,889606,29942742,2684669,3172100,3047021,3474252,218915,357614,668319,22870388,10746035,6921745,1749639
Spain,475,12056,658652,3726864,887,295332,19990,638695,17253,18850,437,111994,893090,5813,158947,4128,132799,9970,25943,8187,3106705,7534,651,0,60056,23618,2643,487,330411,281432,322884,12428
Sri Lanka,875,15616,75095,1149527,82347,232901,47298,168215,32172,41538,9744,168817,351548,6971,94894,2953,16844,7428,76201,11899,399926,11783,5458,7106,1926,4091,2512,37228,130288,141622,122796,31380
Sub-Saharan Africa (WB),608429,166446,1236217,25004832,1516084,3617951,25516427,7911498,859894,13536392,0,1681946,4695413,5092728,4755324,581734,313765,5262969,23639530,692371,11144103,5466427,2869652,21684149,29056881,49469,158559,27217,23749683,4677039,2767542,2125834
Sudan,67188,2487,62346,1887465,92787,52868,561001,171067,62584,57868,3493,49751,214960,70645,212125,25388,15624,73456,934503,46951,359195,52004,89630,100763,91233,6526,2039,1059,374139,111989,106168,30941
Suriname,41,334,2077,30883,1,4743,1575,5720,787,347,1,3553,2577,493,2716,72,439,523,5653,331,13646,325,282,877,3319,73,7,0,3817,2868,4575,1305
Sweden,97,12645,147340,1213946,27,54982,11587,92419,3473,4000,15,45243,107028,2339,17048,1180,31548,2919,4618,3192,710254,1157,121,0,1379,7706,2048,60,96953,28634,38049,3904
Switzerland,182,7984,110105,722512,24,45284,4115,76721,1957,1791,23,43897,80707,1251,16295,314,21919,2181,5219,1354,516815,1639,138,0,2901,7601,329,350,59500,30449,39494,2354
Syria,1233,1464,31912,1056981,365293,41936,13311,64019,7005,3975,14724,9839,79697,4666,62105,3019,8546,5605,130737,6676,198726,13964,5786,32,541,3186,926,131,76767,48393,66362,9409
Taiwan,268,7659,136808,981658,36,266537,2137,309002,26404,43535,35,109715,217564,3969,160502,6938,36187,4225,16447,7032,1148629,4647,856,0,3399,8816,570,3693,224208,201363,155474,17345
Tajikistan,3740,5101,15844,535923,24266,25178,67291,59507,22954,22215,307,9728,50477,560,17297,2965,5497,3510,90126,10001,120108,10431,2576,4932,2325,530,309,2072,157704,45011,6711,10944
Tanzania,19635,7020,66904,1155416,700,168174,743870,350358,35519,638516,72,70982,162969,309857,140881,27430,14391,320554,1122254,30282,629238,146489,133746,800490,2465047,2855,6332,807,1209289,215936,124990,74764
Thailand,8236,21987,335804,2572195,7044,386466,167298,707685,169256,310507,2506,248729,666147,28794,717057,7720,69870,32140,153777,19719,2369108,37372,18063,8592,618532,12339,1244,11807,493505,431669,509707,216115
Togo,3519,1034,7137,163134,638,18997,224470,50797,5130,62009,75,11797,28843,14742,35797,2795,1965,15414,156118,3893,69820,26855,18494,160123,179708,281,964,72,132028,29818,20165,11226
Tokelau,0,0,0,140,0,30,0,13,0,0,0,0,34,0,0,0,0,0,3,0,49,0,0,0,0,0,0,0,24,0,6,0
Tonga,175,30,402,4613,0,1952,111,1096,170,182,0,141,1251,117,296,35,125,120,595,90,3292,214,79,0,39,0,0,11,1024,560,773,87
Trinidad and Tobago,87,670,6467,103599,157,40399,963,11578,1623,738,6,5119,6547,887,6227,106,1471,954,6815,647,45289,660,338,0,8442,168,30,23,8278,4717,11237,8197
Tunisia,2836,843,46040,769978,489,32349,4256,49677,6117,4740,310,11250,61408,913,76230,3064,9358,1057,79918,7278,205035,3880,3357,0,2289,2988,241,95,53421,30958,53081,2721
Turkey,25245,5472,374548,4167835,37414,484386,52514,332311,29356,65510,5977,81642,733091,19318,217882,15857,71753,24559,629097,14509,2154475,32710,21647,179,2970,5245,1739,20972,476082,179133,410468,61032
Turkmenistan,2759,5519,11089,438094,1200,14135,16771,57210,10055,18010,3,12905,16561,298,12756,1539,2110,658,44678,6842,80874,3466,1915,12,3950,1062,2709,17,82139,48047,15320,6628
Tuvalu,0,0,35,1120,0,264,50,120,30,46,0,60,248,14,80,0,30,14,94,18,345,5,5,0,7,0,0,0,179,60,108,30
Uganda,10912,5467,34155,632868,23456,106337,495526,212761,22734,491292,2373,51079,142817,187486,135004,15581,8228,191830,949090,17217,421210,179942,56671,1265629,2102167,785,4228,822,564036,122997,72223,50983
Ukraine,3175,303062,369800,13053052,9578,95725,3615,786889,169303,146512,2261,444127,670421,3304,285347,81011,93588,7895,75146,95015,3190335,17655,3784,0,177144,45328,120391,316,236344,509723,57772,190094
United Arab Emirates,963,1035,1653,113217,2,16413,1021,9201,3353,2125,1,10612,24193,95,64581,688,1182,170,5347,3247,63641,1087,283,0,1866,10129,203,0,9876,6088,18201,2157
United Kingdom,680,38289,760163,6603062,1646,194851,35655,829566,10099,15093,567,171611,1293421,2994,114375,5965,178912,5004,61675,15676,5182471,11589,1761,0,11315,60456,5628,408,1241986,243170,169923,14156
United States,5851,309757,3302609,26438346,12506,2030631,199602,3026943,114752,38127,3535,1168886,4949052,121030,1359744,40259,661288,133044,429516,126712,18905315,40032,25206,0,528417,800798,40402,10712,2248625,1514325,2018497,596818
United States Virgin Islands,0,303,589,10542,0,1674,30,1331,181,30,0,248,642,93,523,12,260,97,314,51,6766,13,21,0,333,69,25,19,552,794,1027,973
Uruguay,68,2579,33199,316537,3,22890,3970,43043,3362,2664,1,17501,55096,2547,17244,570,8336,3202,10213,1995,272842,1399,433,0,4365,276,191,23,39468,15006,21596,5354
Uzbekistan,12185,14820,41265,2749832,855,137009,35431,341410,66631,95035,68,83791,146544,755,120419,10519,13633,3497,232126,29237,505008,16674,6896,48,12309,3456,4880,117,475207,288771,105239,28015
Vanuatu,103,73,331,16362,0,2032,1928,2047,752,1071,0,1171,3751,356,1485,57,227,361,2385,93,4143,191,232,1247,248,28,30,177,2803,1100,1164,75
Venezuela,1109,5824,108735,1158991,1047,175790,61658,168365,20273,23568,110,57960,122198,21347,175036,2607,18573,22554,154484,4949,641727,11615,12739,3726,46090,1664,268,31025,124366,91720,161667,266071
Vietnam,30650,20059,369363,5323920,98,544222,109700,735817,214356,729683,1,197601,911787,7366,594980,34681,83322,48613,449614,17380,2156232,38559,13167,17311,148838,19959,2967,12526,639832,527192,396874,47981
Wales,30,2082,40586,372604,37,10810,2008,43828,529,821,0,9243,72858,179,5730,330,9323,289,2713,830,279702,596,84,0,503,3211,326,71,68744,13347,9440,739
World (excluding China),31584,1095620,13434010,100146131,31967,6563100,628785,12982106,649623,657937,0,4975336,14718060,342308,4606907,149996,2621807,403828,1193837,423014,77735823,166172,57512,1311,887898,1176353,198247,55940,10755075,6337034,6478820,1014677
Yemen,26532,1590,31045,1110837,95610,30812,419051,111536,27994,32460,8776,29882,126525,66731,278327,12561,7188,68939,729558,23871,234015,21095,53611,143463,6276,3718,1049,1131,259044,64136,52119,17918
Zambia,8846,2677,13473,360770,159,54098,348764,147640,12809,275391,21,29216,59173,92915,56976,9056,4054,95913,300479,9476,198742,98886,28395,205529,1175563,933,2451,73,345855,100581,41751,30065
Zimbabwe,3778,1246,20017,408352,625,71175,140850,108691,18169,273844,27,51763,71774,65942,67207,9113,5764,66723,251875,14718,272787,41238,29802,118728,1836042,2271,978,1247,326145,55027,49952,32741
